Date,GBPUSD=X,GLD,SPY,USO,VIX
2015-01-01,1.558093547821045,,,,
2015-01-02,1.5579720735549927,114.08000183105469,170.58966064453125,159.1199951171875,17.790000915527344
2015-01-05,1.5284910202026367,115.80000305175781,167.50880432128906,150.32000732421875,19.920000076293945
2015-01-06,1.5258322954177856,117.12000274658203,165.93109130859375,144.39999389648438,21.1200008392334
2015-01-07,1.5137982368469238,116.43000030517578,167.99871826171875,146.9600067138672,19.309999465942383
2015-01-08,1.5107566118240356,115.94000244140625,170.97987365722656,148.39999389648438,17.010000228881836
2015-01-09,1.5087963342666626,117.26000213623047,169.60977172851562,146.24000549316406,17.549999237060547
2015-01-12,1.5189489126205444,118.55999755859375,168.2810821533203,139.27999877929688,19.600000381469727
2015-01-13,1.5170363187789917,118.16000366210938,167.8078155517578,140.9600067138672,20.559999465942383
2015-01-14,1.5170363187789917,117.97000122070312,166.79464721679688,146.16000366210938,21.479999542236328
2015-01-15,1.5234380960464478,120.94000244140625,165.26673889160156,139.60000610351562,22.389999389648438
2015-01-16,1.5181187391281128,122.5199966430664,167.43402099609375,146.63999938964844,20.950000762939453
2015-01-19,1.5142109394073486,,,,
2015-01-20,1.5090012550354004,124.19999694824219,167.79115295410156,139.83999633789062,19.889999389648438
2015-01-21,1.5147384405136108,124.2300033569336,168.6382293701172,142.16000366210938,18.850000381469727
2015-01-22,1.5144860744476318,125.2300033569336,171.14601135253906,139.27999877929688,16.399999618530273
2015-01-23,1.5013211965560913,124.2300033569336,170.2076416015625,136.0,16.65999984741211
2015-01-26,1.4995876550674438,122.98999786376953,170.60614013671875,134.9600067138672,15.520000457763672
2015-01-27,1.5085458755493164,124.4000015258789,168.35581970214844,137.67999267578125,17.219999313354492
2015-01-28,1.5188103914260864,123.41999816894531,166.19677734375,132.47999572753906,20.440000534057617
2015-01-29,1.5142338275909424,120.76000213623047,167.73306274414062,133.44000244140625,18.760000228881836
2015-01-30,1.5079090595245361,123.44999694824219,165.62380981445312,142.55999755859375,20.969999313354492
2015-02-02,1.5087052583694458,122.41999816894531,167.67491149902344,148.9600067138672,19.43000030517578
2015-02-03,1.5028102397918701,121.05000305175781,170.09967041015625,156.9600067138672,17.329999923706055
2015-02-04,1.5142109394073486,121.58000183105469,169.45196533203125,146.24000549316406,18.329999923706055
2015-02-05,1.5180034637451172,121.79000091552734,171.16256713867188,152.24000549316406,16.850000381469727
